Mean_laptime,Median_laptime,std_dev_laptime,min_laptime,max_laptime,avg_speed_i1,avg_speed_i2,avg_speed_fl,Track_length,Corners,Prev_team_pos,Prev_year_pos,Q1_timing
90.9908,77.6640,21.6441,76.002,128.130,261,289,275,5.279,14,3,1,76.018
101.3485,105.4360,23.3162,76.378,143.054,234,239,280,5.279,14,4,7,76.213
86.5181,77.4610,17.8526,76.188,129.396,275,299,277,5.279,14,2,3,76.029
101.3562,92.0540,25.6665,76.580,149.851,226,251,258,5.279,14,1,1,75.912
103.1178,105.6300,24.2250,75.921,146.864,229,249,243,5.279,14,1,4,76.062
85.2701,77.2820,16.6961,75.960,118.334,279,281,304,5.279,14,4,6,75.971
97.1811,78.0610,28.1365,76.455,145.709,246,282,253,5.279,14,8,12,76.225
92.9937,77.7130,23.7706,76.258,144.790,243,270,291,5.279,14,9,16,76.245
87.5713,82.8580,16.9928,76.719,144.627,262,293,293,5.279,14,6,10,76.328
95.2327,77.7930,25.5377,76.252,133.866,249,274,289,5.279,14,2,5,76.36
105.0076,109.4860,24.2605,76.732,138.872,233,245,260,5.279,14,8,15,76.354
94.1499,90.1100,16.5822,77.270,127.278,250,280,280,5.279,14,5,9,76.288
102.1774,108.4845,24.9842,76.948,148.241,229,261,267,5.279,14,5,13,76.369
92.4874,78.8740,22.4495,76.993,140.342,248,276,281,5.279,14,6,15,76.315
92.2186,78.6310,22.6589,76.707,134.098,263,275,274,5.279,14,10,15,76.516
89.4624,78.0875,18.4524,76.206,125.804,252,277,306,5.279,14,4,15,76.525
101.1988,90.4840,25.3411,77.146,140.086,237,264,246,5.279,14,10,11,76.579
101.2679,94.1620,26.0786,77.640,147.478,222,251,280,5.279,14,3,15,77.094
95.8964,79.8290,21.2000,77.373,128.724,234,266,277,5.279,14,7,14,77.147
100.5564,96.5195,21.5030,79.312,133.261,231,256,295,5.279,14,7,15,78.147
105.2276,98.2660,16.3707,93.284,140.215,254,249,238,5.451,16,3,1,91.424
101.3620,96.1080,16.3384,92.195,146.899,267,262,232,5.451,16,4,7,91.69
102.1541,93.9285,18.6450,91.958,146.591,252,266,261,5.451,16,2,3,91.579
104.7187,97.0380,16.4449,91.504,149.829,258,245,251,5.451,16,1,1,90.983
103.6667,96.4850,19.4371,92.153,148.981,258,245,247,5.451,16,1,4,91.591
99.6649,95.7680,11.9449,92.377,136.337,263,265,250,5.451,16,4,6,91.295
111.4326,97.4465,22.4956,92.934,149.089,240,224,253,5.451,16,8,12,91.238
107.4091,96.7185,19.6600,92.687,142.692,237,256,248,5.451,16,9,16,91.503
102.4610,96.4560,16.0914,93.123,143.459,257,257,246,5.451,16,6,10,91.992
105.3278,97.2080,16.6551,93.145,145.071,247,252,247,5.451,16,2,5,91.628
104.7045,97.6220,19.1461,93.385,147.665,259,253,230,5.451,16,8,15,91.162
101.1252,96.0330,10.6829,92.766,120.604,262,251,248,5.451,16,5,9,91.719
108.5588,97.4650,21.8060,92.984,147.636,240,248,254,5.451,16,5,13,91.923
98.2888,96.7930,7.7573,93.923,120.011,255,261,260,5.451,16,6,15,92.092
104.6493,98.6275,16.2532,93.822,144.756,257,250,259,5.451,16,10,15,92.141
104.2806,96.9600,18.3932,92.874,148.299,250,254,251,5.451,16,4,15,91.676
106.0347,96.5900,19.4774,92.507,141.060,249,250,244,5.451,16,10,11,91.921
112.7877,98.7035,19.6527,93.631,146.101,234,230,238,5.451,16,3,15,92.174
100.8830,96.6340,13.5395,93.056,139.699,258,260,245,5.451,16,7,14,91.876
108.4919,97.6225,21.3285,92.967,147.307,242,246,243,5.451,16,7,15,92.018
