Mean_laptime,Median_laptime,std_dev_laptime,min_laptime,max_laptime,avg_speed_i1,avg_speed_i2,avg_speed_fl,Track_length,Corners,Prev_team_pos,Prev_year_pos,Q3_timings
79.8721,79.7710,2.3427,76.002,82.665,288,328,310,5.279,14,3,1,75.18
80.2399,80.5560,2.6264,76.378,86.692,288,318,308,5.279,14,4,7,75.973
78.8848,77.8635,2.2652,76.188,82.555,289,326,309,5.279,14,2,3,75.755
81.4148,81.4660,5.9892,76.58,104.236,288,326,309,5.279,14,1,1,75.096
81.5939,80.9910,6.9693,75.921,105.63,288,321,309,5.279,14,1,4,75.18
79.8863,81.5820,2.3872,75.96,82.411,289,321,310,5.279,14,4,6,75.737
80.3604,81.1095,2.2861,76.455,82.635,289,326,308,5.279,14,8,12,75.67
80.0562,78.8130,4.4109,76.258,98.116,289,326,312,5.279,14,9,16,75.737
80.2913,79.3060,2.6211,76.719,83.695,288,326,312,5.279,14,6,10,75.98
79.8628,79.4305,2.5508,76.252,83.133,289,325,310,5.279,14,2,5,76.062
80.3720,81.0310,2.5048,76.732,86.445,288,327,308,5.279,14,8,15,77
80.2323,79.3390,2.3466,77.27,83.876,286,329,310,5.279,14,5,9,77
80.2923,79.1095,2.3742,76.948,84.108,286,324,308,5.279,14,5,13,77
80.1075,79.8655,2.1844,76.993,82.757,289,329,309,5.279,14,6,15,77
80.3177,79.6760,2.3758,76.707,84.223,288,324,308,5.279,14,10,15,77
79.9641,80.0100,2.2378,76.206,82.699,288,321,312,5.279,14,4,15,77
80.8545,80.8000,3.1506,77.146,89.3,288,325,312,5.279,14,10,11,77
81.0389,81.5140,2.3765,77.64,84.235,286,326,306,5.279,14,3,15,77
80.8026,79.9830,2.4701,77.373,86.055,287,322,305,5.279,14,7,14,77
81.2238,80.9440,1.6947,79.312,83.446,277,312,299,5.279,14,7,15,77
96.9217,97.8045,1.9946,93.284,99.089,276,270,266,5.451,16,3,1,90.763
94.1825,93.7565,1.6555,92.195,96.547,280,277,266,5.451,16,4,7,90.927
92.9160,92.7890,0.8601,91.958,94.034,281,276,270,5.451,16,2,3,91.021
95.2857,96.2570,2.2081,91.504,97.638,282,276,272,5.451,16,1,1,90.793
94.2917,93.3970,1.8551,92.153,96.834,276,276,270,5.451,16,1,4,90.641
94.6340,95.2020,1.6534,92.377,97.253,283,275,270,5.451,16,4,6,90.723
95.8096,96.5820,1.8903,92.934,97.927,276,269,265,5.451,16,8,12,91.638
95.3363,95.8300,1.7258,92.687,97.677,278,276,269,5.451,16,9,16,91.706
95.1214,94.9455,1.4406,93.123,97.013,277,271,266,5.451,16,6,10,92.7
95.8481,96.3730,1.7566,93.145,97.883,276,274,266,5.451,16,2,5,92.7
95.9035,96.1855,1.7117,93.385,97.7,275,271,263,5.451,16,8,15,91.079
94.8608,95.0145,1.3793,92.766,96.518,276,275,267,5.451,16,5,9,92.7
95.5730,95.2860,1.8130,92.984,97.938,276,272,263,5.451,16,5,13,92.7
95.1743,94.6515,1.2883,93.923,96.855,274,270,266,5.451,16,6,15,92.7
96.7518,97.1630,2.0793,93.822,99.066,280,276,268,5.451,16,10,15,92.7
95.8013,96.3895,1.5225,92.874,97.174,278,274,270,5.451,16,4,15,91.103
95.0423,94.8715,1.6226,92.507,97.039,280,275,267,5.451,16,10,11,92.7
98.7385,97.9910,6.1060,93.631,115.338,276,272,267,5.451,16,3,15,92.7
94.8274,94.6250,1.4944,93.056,97.046,278,273,266,5.451,16,7,15,92.7
96.0558,96.8115,1.8795,92.967,98.06,280,273,264,5.451,16,7,14,92.7
